identifier,source,source_id_ref,ui_active_flag,plan,email_present,pedagogical_id_exact_match,pedagogical_rows,firestore_document_verified,canonical_student_id,subscription_id,contract_start,contract_end,cancellation_evidence,operational_eligible
994185209539a46e,authenticated_ui_export,994185209539a46e,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
dabb6deeaa7a84fe,authenticated_ui_export,dabb6deeaa7a84fe,sim,Gold,True,True,33,False,,,,,NOT_EXPORTED,UNDETERMINED
f6797f34cfb71355,authenticated_ui_export,f6797f34cfb71355,sim,Premium,True,True,22,False,,,,,NOT_EXPORTED,UNDETERMINED
1393d7c3c8ec1856,authenticated_ui_export,1393d7c3c8ec1856,sim,Diamond,True,True,47,False,,,,,NOT_EXPORTED,UNDETERMINED
d4b44cc2e8b132b7,authenticated_ui_export,d4b44cc2e8b132b7,sim,Diamond,True,True,56,False,,,,,NOT_EXPORTED,UNDETERMINED
3b97e3ee11bbae16,authenticated_ui_export,3b97e3ee11bbae16,sim,Premium,True,True,24,False,,,,,NOT_EXPORTED,UNDETERMINED
60a7b20921cc6d1f,authenticated_ui_export,60a7b20921cc6d1f,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
643bef3538afcad8,authenticated_ui_export,643bef3538afcad8,sim,Gold,True,True,23,False,,,,,NOT_EXPORTED,UNDETERMINED
322704f33e1ad233,authenticated_ui_export,322704f33e1ad233,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
b97169df41565e70,authenticated_ui_export,b97169df41565e70,sim,Turma,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
b0f337534379bd4d,authenticated_ui_export,b0f337534379bd4d,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
510aae49be546518,authenticated_ui_export,510aae49be546518,sim,Gold,True,True,36,False,,,,,NOT_EXPORTED,UNDETERMINED
4540e1636ababa27,authenticated_ui_export,4540e1636ababa27,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
d4aca3e0f45b3414,authenticated_ui_export,d4aca3e0f45b3414,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
350450c5e362d6a6,authenticated_ui_export,350450c5e362d6a6,sim,Gold,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
393032670e4b8d55,authenticated_ui_export,393032670e4b8d55,sim,Gold,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
a2c7aebc836afbb7,authenticated_ui_export,a2c7aebc836afbb7,sim,Gold,True,True,36,False,,,,,NOT_EXPORTED,UNDETERMINED
b58a0122faef0144,authenticated_ui_export,b58a0122faef0144,sim,Turma,True,True,48,False,,,,,NOT_EXPORTED,UNDETERMINED
eb0010cc95751f41,authenticated_ui_export,eb0010cc95751f41,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
8b35ccf30f40d945,authenticated_ui_export,8b35ccf30f40d945,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
bc148518911e314e,authenticated_ui_export,bc148518911e314e,sim,Gold,True,True,36,False,,,,,NOT_EXPORTED,UNDETERMINED
6baf1f0212db03fe,authenticated_ui_export,6baf1f0212db03fe,sim,Turma,True,True,22,False,,,,,NOT_EXPORTED,UNDETERMINED
f185df6ced33e19a,authenticated_ui_export,f185df6ced33e19a,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
6e8d87ccd2ed6f25,authenticated_ui_export,6e8d87ccd2ed6f25,sim,Turma,True,True,22,False,,,,,NOT_EXPORTED,UNDETERMINED
b30ea0470861b9ef,authenticated_ui_export,b30ea0470861b9ef,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
2e22e91ef68aed9b,authenticated_ui_export,2e22e91ef68aed9b,sim,Diamond,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
c70935bf150a9878,authenticated_ui_export,c70935bf150a9878,sim,Gold,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
872d3acef6df3717,authenticated_ui_export,872d3acef6df3717,sim,Gold,True,True,73,False,,,,,NOT_EXPORTED,UNDETERMINED
68a1f8eb1b17a522,authenticated_ui_export,68a1f8eb1b17a522,sim,Turma,True,True,47,False,,,,,NOT_EXPORTED,UNDETERMINED
c573af93474aa2ec,authenticated_ui_export,c573af93474aa2ec,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
2af1e3cf320904ab,authenticated_ui_export,2af1e3cf320904ab,sim,Diamond,True,True,23,False,,,,,NOT_EXPORTED,UNDETERMINED
cd51e59edeb3667a,authenticated_ui_export,cd51e59edeb3667a,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
8863250bf16425be,authenticated_ui_export,8863250bf16425be,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
8c47581e5aa1228f,authenticated_ui_export,8c47581e5aa1228f,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
bc5973dfc3d52d26,authenticated_ui_export,bc5973dfc3d52d26,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
94ac72e52a5e058d,authenticated_ui_export,94ac72e52a5e058d,sim,Gold,True,True,12,False,,,,,NOT_EXPORTED,UNDETERMINED
da943ebbabcca19c,authenticated_ui_export,da943ebbabcca19c,sim,Diamond,True,True,65,False,,,,,NOT_EXPORTED,UNDETERMINED
7eb3b6447f8cb7a8,authenticated_ui_export,7eb3b6447f8cb7a8,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
368862290d1b741c,authenticated_ui_export,368862290d1b741c,sim,Gold,True,True,24,False,,,,,NOT_EXPORTED,UNDETERMINED
27d7aa206fffce90,authenticated_ui_export,27d7aa206fffce90,sim,Gold,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
be8af76e8881c6a5,authenticated_ui_export,be8af76e8881c6a5,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
45b25d5ae2cee718,authenticated_ui_export,45b25d5ae2cee718,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
68c49d7c299aa4d7,authenticated_ui_export,68c49d7c299aa4d7,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
5b610b7b253ae613,authenticated_ui_export,5b610b7b253ae613,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
58a8f4562e207448,authenticated_ui_export,58a8f4562e207448,sim,Diamond,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
cda44b07998ae1d4,authenticated_ui_export,cda44b07998ae1d4,sim,Diamond,True,True,35,False,,,,,NOT_EXPORTED,UNDETERMINED
4fe28457c3b2cdf7,authenticated_ui_export,4fe28457c3b2cdf7,sim,Gold,True,True,23,False,,,,,NOT_EXPORTED,UNDETERMINED
6556f5c4b3590cc4,authenticated_ui_export,6556f5c4b3590cc4,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
74fd5e7c793abf43,authenticated_ui_export,74fd5e7c793abf43,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
26481f2930055c0b,authenticated_ui_export,26481f2930055c0b,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
2e6596fdd70ca8c6,authenticated_ui_export,2e6596fdd70ca8c6,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
e7e0b5014fc7eba9,authenticated_ui_export,e7e0b5014fc7eba9,sim,Gold,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
ba3d116a5c5248e5,authenticated_ui_export,ba3d116a5c5248e5,sim,Turma,True,True,48,False,,,,,NOT_EXPORTED,UNDETERMINED
d2ce605244023369,authenticated_ui_export,d2ce605244023369,sim,Gold,True,True,12,False,,,,,NOT_EXPORTED,UNDETERMINED
51cdcd78700e41e1,authenticated_ui_export,51cdcd78700e41e1,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
5353e7e37a04e263,authenticated_ui_export,5353e7e37a04e263,sim,Diamond,True,True,65,False,,,,,NOT_EXPORTED,UNDETERMINED
41161e854f0bc9c1,authenticated_ui_export,41161e854f0bc9c1,sim,Gold,True,True,22,False,,,,,NOT_EXPORTED,UNDETERMINED
0cbef6d40744deed,authenticated_ui_export,0cbef6d40744deed,sim,Gold,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
b71b5f976d7b2d94,authenticated_ui_export,b71b5f976d7b2d94,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
6e0277eda77cb627,authenticated_ui_export,6e0277eda77cb627,sim,Premium,True,True,25,False,,,,,NOT_EXPORTED,UNDETERMINED
d8c0bc99f9d46427,authenticated_ui_export,d8c0bc99f9d46427,sim,Gold,True,True,35,False,,,,,NOT_EXPORTED,UNDETERMINED
491d0a77557b2d3d,authenticated_ui_export,491d0a77557b2d3d,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
fcb1b70d72df2718,authenticated_ui_export,fcb1b70d72df2718,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
b1bfe9e6beeb5a9c,authenticated_ui_export,b1bfe9e6beeb5a9c,sim,Premium,True,True,11,False,,,,,NOT_EXPORTED,UNDETERMINED
88e16d6bc540db7b,authenticated_ui_export,88e16d6bc540db7b,sim,Gold,True,True,49,False,,,,,NOT_EXPORTED,UNDETERMINED
1f1b4164e32d1fbd,authenticated_ui_export,1f1b4164e32d1fbd,sim,Diamond,True,True,56,False,,,,,NOT_EXPORTED,UNDETERMINED
f74b4c8de3d4b80e,authenticated_ui_export,f74b4c8de3d4b80e,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
9e1a60cab2ce7011,authenticated_ui_export,9e1a60cab2ce7011,sim,Diamond,True,True,62,False,,,,,NOT_EXPORTED,UNDETERMINED
ce16709de0657586,authenticated_ui_export,ce16709de0657586,sim,Diamond,True,True,61,False,,,,,NOT_EXPORTED,UNDETERMINED
276f839bd8f199f1,authenticated_ui_export,276f839bd8f199f1,sim,Gold,True,True,35,False,,,,,NOT_EXPORTED,UNDETERMINED
b20932142f576368,authenticated_ui_export,b20932142f576368,sim,Diamond,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
188b2a0ec72003ae,authenticated_ui_export,188b2a0ec72003ae,sim,Turma,True,True,24,False,,,,,NOT_EXPORTED,UNDETERMINED
86792dd292a84eb8,authenticated_ui_export,86792dd292a84eb8,sim,Diamond,True,True,79,False,,,,,NOT_EXPORTED,UNDETERMINED
3ec0e645f49ec5d1,authenticated_ui_export,3ec0e645f49ec5d1,sim,Diamond,True,True,53,False,,,,,NOT_EXPORTED,UNDETERMINED
25307b24f2a8f0ee,authenticated_ui_export,25307b24f2a8f0ee,sim,Gold,True,True,23,False,,,,,NOT_EXPORTED,UNDETERMINED
4b77612c9bb93a21,authenticated_ui_export,4b77612c9bb93a21,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
ad6d8ffb6d692c05,authenticated_ui_export,ad6d8ffb6d692c05,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
207c7fda57468a13,authenticated_ui_export,207c7fda57468a13,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
79f067eb8b923c0c,authenticated_ui_export,79f067eb8b923c0c,sim,Diamond,True,True,47,False,,,,,NOT_EXPORTED,UNDETERMINED
3c1e4fb8471dbfca,authenticated_ui_export,3c1e4fb8471dbfca,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
a378b0b69938e6f1,authenticated_ui_export,a378b0b69938e6f1,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
14e44d7a696f348d,authenticated_ui_export,14e44d7a696f348d,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
8b7c9f05ff16f0fc,authenticated_ui_export,8b7c9f05ff16f0fc,sim,Premium,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
be5c0db205ad5ba7,authenticated_ui_export,be5c0db205ad5ba7,sim,Premium,True,True,12,False,,,,,NOT_EXPORTED,UNDETERMINED
e2c5af6fcf16bdf0,authenticated_ui_export,e2c5af6fcf16bdf0,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
5f2ffb7b9be49a4e,authenticated_ui_export,5f2ffb7b9be49a4e,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
5d22d6b16d5d61cd,authenticated_ui_export,5d22d6b16d5d61cd,sim,Gold,True,True,118,False,,,,,NOT_EXPORTED,UNDETERMINED
8c204bc0954be364,authenticated_ui_export,8c204bc0954be364,sim,Diamond,True,True,45,False,,,,,NOT_EXPORTED,UNDETERMINED
21247cd3dc3b842e,authenticated_ui_export,21247cd3dc3b842e,sim,Diamond,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
